Record Type,CDS Code,Federal School ID,Federal Charter District ID,County,District,School,Status,Open Date,Closed Date,Charter Yes/No,Charter Number,Funding Type,Educational Program Type,Entity Type,Low Grade,High Grade,Virtual Instruction Type,Magnet Yes/No,Year Round Yes/No,Public Yes/No,Multilingual Yes/No,Website,Latitude,Longitude,Last Update,Street Address,Street City,Street State,Street Zip,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Phone Extension,Fax Number,Email,Administrator Name,Administrator Phone,Administrator Phone Ext.,Administrator Email
School,19101990132605,13895,0602256,Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,Active,8/17/2015,No Data,Y,1744,Directly funded,Traditional,Intermediate/Middle Schools (Public),5,8,Not Virtual,N,N,Y,N,www.valientecollegeprep.org,33.954987,-118.206670,2/9/2023,8691 California Ave.,South Gate,CA,90280-3003,8691 California Ave.,South Gate,CA,90280-3003,(323) 744-2107,No Data,(323) 306-5869,nhuertas@valientecollegeprep.org,Jason Marin,(323) 744-2107,No Data,jmarin@valientecollegeprep.org
School,19101990139345,14478,0602529,Los Angeles,Los Angeles County Office of Education,We the People High,Active,7/1/2020,No Data,Y,2045,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,www.wethepeopleps.org,33.787729,-118.189813,2/9/2023,1635 Long Beach Blvd.,Long Beach,CA,90813-2304,1635 Long Beach Blvd.,Long Beach,CA,90813,(562) 533-4862,No Data,No Data,admin@wethepeopleps.org,Anita Ravi,(562) 533-4862,No Data,anitaravi@wethepeopleps.org
School,19647331935121,03139,No Data,Los Angeles,Los Angeles Unified,Abraham Lincoln Senior High,Active,7/1/1878 12:00:00 AM,No Data,N,No Data,No Data,Traditional,High Schools (Public),9,12,Primarily Classroom,Y,N,Y,N,www.lincolnhs.org,34.073873,-118.203866,2/9/2023,3501 North Broadway,Los Angeles,CA,90031-2856,3501 North Broadway,Los Angeles,CA,90031-2856,(323) 441-4600,No Data,(323) 223-1291,No Data,Rose Anne Ruiz,No Data,No Data,rvr8954@lausd.net
School,19647330120097,12455,0602361,Los Angeles,Los Angeles Unified,Academia Moderna,Active,9/21/2009,No Data,Y,1101,Directly funded,Traditional,Elementary Schools (Public),K,5,Not Virtual,N,N,Y,N,https://academiamoderna.org/,33.967144,-118.229658,2/9/2023,2410 Broadway,Walnut Park,CA,90255-6342,2410 Broadway,Walnut Park,CA,90255-6342,(323) 923-0383,No Data,(323) 923-0380,No Data,Rachel Villalobos,No Data,No Data,r.villalobos@altaps.org
School,19647330126615,13040,No Data,Los Angeles,Los Angeles Unified,Academies of Education and Empowerment at Carson High,Active,8/14/2012,No Data,N,No Data,No Data,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,https://aee-lausd-ca.schoolloop.com,33.823923,-118.275857,2/9/2023,22328 South Main St.,Carson,CA,90745-4525,22328 South Main St.,Carson,CA,90745-4525,(310) 847-1455,No Data,(310) 847-1451,No Data,Sonia Buenrostro,No Data,No Data,sxb3972@lausd.net
School,19647330125096,13006,No Data,Los Angeles,Los Angeles Unified,Academy for Enriched Sciences,Active,9/6/2011,No Data,N,No Data,No Data,Traditional,Elementary Schools (Public),K,5,Not Virtual,Y,N,Y,N,www.theacademyforenrichedsciences.net,34.175140,-118.515304,2/9/2023,17551 Miranda St.,Encino,CA,91316-1250,17551 Miranda St.,Encino,CA,91316-1250,(818) 609-8421,No Data,(818) 609-8424,No Data,Amy Petry,No Data,No Data,ajp3241@lausd.net
School,19647330139055,14434,0602503,Los Angeles,Los Angeles Unified,Academy of Media Arts,Active,8/20/2019,No Data,Y,2038,Directly funded,Traditional,High Schools (Public),9,12,Primarily Classroom,N,N,Y,N,https://academyofmediaarts.org/,34.011254,-118.315466,3/13/2023,2009 West Martin Luther King Blvd.,Los Angeles,CA,90062-1434,2009 West Martin Luther King Blvd.,Los Angeles,CA,90062-1434,(424) 253-8984,No Data,(323) 784-2500,dana.h@academyofmediaarts.org,Mary Tascian Williams,No Data,No Data,mary.w@academyofmediaarts.org
School,19647330126623,13104,No Data,Los Angeles,Los Angeles Unified,Academy of Medical Arts at Carson High,Active,8/14/2012,No Data,N,No Data,No Data,Traditional,High Schools (Public),9,12,Primarily Classroom,N,N,Y,N,www.amacarson.org,33.823923,-118.275857,2/9/2023,22328 South Main St.,Carson,CA,90745-4525,22328 South Main St.,Carson,CA,90745-4525,(310) 847-1465,No Data,(310) 847-1471,No Data,Aracely Martinez,No Data,No Data,amarti51@lausd.net
School,19647336112536,03245,0601732,Los Angeles,Los Angeles Unified,Accelerated,Active,9/6/1994,No Data,Y,0045,Directly funded,Traditional,Elementary Schools (Public),K,8,Not Virtual,N,N,Y,N,http://accelerated.org,34.010434,-118.273931,2/9/2023,4000 South Main St.,Los Angeles,CA,90037-1022,4000 South Main St.,Los Angeles,CA,90037-1022,(323) 235-6343,No Data,(323) 235-6346,No Data,Kim Clerx,No Data,No Data,kclerx@accelerated.org
School,19647330100743,10830,0601471,Los Angeles,Los Angeles Unified,Accelerated Charter Elementary,Active,8/4/2004,No Data,Y,0539,Directly funded,Traditional,Elementary Schools (Public),K,6,Not Virtual,N,N,Y,Y,http://accelerated.org,34.011574,-118.273642,10/5/2022,3914 South Main St.,Los Angeles,CA,90037-1253,3914 South Main St.,Los Angeles,CA,90037-1253,(323) 846-6694,No Data,(323) 846-0686,No Data,Karin Figueroa,No Data,No Data,kfigueroa@accelerated.org
School,19647330118588,12248,0602092,Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,Active,9/8/2008,No Data,Y,1050,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,Y,Y,N,www.ca.greendot.org/locke/,33.934867,-118.268939,2/9/2023,325 East 111th St.,Los Angeles,CA,90061-3003,"1149 South Hill Street, Ste. 600",Los Angeles,CA,90015,(323) 420-2170,No Data,(323) 565-1610,lck.cde@greendot.org,Gordon Gibbings,No Data,No Data,lck.cde@greendot.org
School,19647336015705,02803,No Data,Los Angeles,Los Angeles Unified,Albion Street Elementary,Active,7/1/1892 12:00:00 AM,No Data,N,No Data,No Data,Traditional,Elementary Schools (Public),K,6,Not Virtual,N,N,Y,N,No Data,34.069357,-118.220913,2/9/2023,322 South Avenue 18,Los Angeles,CA,90031-2507,322 South Avenue 18,Los Angeles,CA,90031-2507,(323) 221-3108,No Data,(323) 223-4077,No Data,Elvira Juarez,No Data,No Data,elvira.juarez@lausd.net
School,19647336015713,02804,No Data,Los Angeles,Los Angeles Unified,Aldama Elementary,Active,7/1/1924,No Data,N,No Data,No Data,Traditional,Elementary Schools (Public),K,5,Not Virtual,N,N,Y,Y,www.aldamaes-lausd-ca.schoolloop.com,34.110127,-118.206005,10/5/2022,632 North Avenue 50,Los Angeles,CA,90042-3205,632 North Avenue 50,Los Angeles,CA,90042-3205,(323) 255-1434,No Data,(323) 254-2159,No Data,Laura Gutierrez,No Data,No Data,lguti7@lausd.net
School,19647336057996,03011,No Data,Los Angeles,Los Angeles Unified,Alexander Fleming Middle,Active,7/1/1957,No Data,N,No Data,No Data,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,Y,N,Y,N,https://flemingms.org,33.793210,-118.312098,2/9/2023,25425 Walnut St.,Lomita,CA,90717-2610,25425 Walnut St.,Lomita,CA,90717-2610,(310) 257-4500,No Data,(310) 326-9071,No Data,Didiana Ramirez,No Data,No Data,didiana.ramirez@lausd.net
School,19647331933852,03064,No Data,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,Active,7/1/1931,No Data,N,No Data,No Data,Traditional,High Schools (Public),9,12,Primarily Classroom,Y,N,Y,N,www.hamiltonhs-lausd-ca.schoolloop.com,34.033458,-118.389692,2/9/2023,2955 Robertson Blvd.,Los Angeles,CA,90034-3116,2955 Robertson Blvd.,Los Angeles,CA,90034-3116,(310) 280-1400,No Data,(310) 842-8663,No Data,Jennifer Baxter,No Data,No Data,jag4588@lausd.net
School,19647336015721,02805,No Data,Los Angeles,Los Angeles Unified,Alexandria Avenue Elementary,Active,7/1/1924,No Data,N,No Data,No Data,Traditional,Elementary Schools (Public),K,5,Not Virtual,N,N,Y,Y,www.alexandriaes-lausd-ca.schoolloop.com/,34.077638,-118.299734,10/5/2022,4211 Oakwood Ave.,Los Angeles,CA,90004-3214,4211 Oakwood Ave.,Los Angeles,CA,90004-3214,(323) 660-1936,No Data,(323) 666-3977,No Data,Luis Gadea,No Data,No Data,lxg9107@lausd.net
School,19647336061543,03225,No Data,Los Angeles,Los Angeles Unified,Alfred B. Nobel Charter Middle,Active,7/1/1962,No Data,Y,1480,Locally funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,Y,N,Y,N,http://nobelms.com,34.250954,-118.553508,2/9/2023,9950 Tampa Ave.,Northridge,CA,91324-1142,9950 Tampa Ave.,Northridge,CA,91324-1142,(818) 773-4700,No Data,(818) 701-9480,No Data,Derek Horowitz,(818) 773-4700,No Data,dhorowit@lausd.net
School,19647336015739,02807,No Data,Los Angeles,Los Angeles Unified,Allesandro Elementary,Active,7/1/1911,No Data,N,No Data,No Data,Traditional,Elementary Schools (Public),K,6,Not Virtual,Y,N,Y,N,www.allesandro-lausd-ca.schoolloop.com,34.101203,-118.250906,2/9/2023,2210 Riverside Dr.,Los Angeles,CA,90039-4009,2210 Riverside Dr.,Los Angeles,CA,90039-4009,(323) 666-7162,No Data,(323) 669-8096,No Data,Dean Simpson,No Data,No Data,dean.simpson@lausd.net
School,19647330121285,12567,0602119,Los Angeles,Los Angeles Unified,Alliance Cindy and Bill Simon Technology Academy High,Active,8/30/2010,No Data,Y,1161,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,http://simontechnology.org,33.938494,-118.238742,2/9/2023,10720 Wilmington Ave.,Los Angeles,CA,90059-1236,10720 Wilmington Ave.,Los Angeles,CA,90059-1236,(323) 744-2122,No Data,(323) 744-2123,No Data,Alberto Oros,No Data,No Data,aoros@laalliance.org
School,19647330128058,13403,0602453,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 12,Active,8/5/2013,No Data,Y,1533,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,N,Y,N,http://crma12.org,33.997698,-118.273270,2/9/2023,131 East 50th St.,Los Angeles,CA,90011-3937,131 East 50th St.,Los Angeles,CA,90011-3937,(323) 238-7270,No Data,(323) 238-7612,No Data,Robin Manly,No Data,No Data,rmanly@laalliance.org
School,19647330120030,12528,0601865,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 4,Active,8/31/2009,No Data,Y,1096,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,N,Y,N,http://crma4.org,33.947773,-118.274229,2/9/2023,9719 South Main St.,Los Angeles,CA,90003-4135,9719 South Main St.,Los Angeles,CA,90003-4135,(323) 451-3009,No Data,(323) 455-1655,No Data,Eva Wilson,No Data,No Data,ewilson@laalliance.org
School,19647330128033,13273,0601589,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 8,Active,8/1/2014,No Data,Y,1531,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,N,Y,N,http://crma8.org,34.035463,-118.187318,2/9/2023,113 South Rowan Ave.,Los Angeles,CA,90063-2434,113 South Rowan Ave.,Los Angeles,CA,90063-2434,(323) 269-2156,No Data,(323) 269-2462,No Data,Young Kim,No Data,No Data,ymkim@laalliance.org
School,19647330108936,10871,0601666,Los Angeles,Los Angeles Unified,Alliance Collins Family College-Ready High,Active,8/29/2005,No Data,Y,0718,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,http://collinsfamilyjaguars.org,33.976919,-118.234136,2/9/2023,2071 Saturn Ave.,Huntington Park,CA,90255-3635,2071 Saturn Ave.,Huntington Park,CA,90255-3635,(323) 923-1588,No Data,(323) 923-1589,No Data,Stephanie Lee,No Data,No Data,slam@laalliance.org
School,19647330111500,11633,0601926,Los Angeles,Los Angeles Unified,Alliance Dr. Olga Mohan High,Active,9/18/2006,No Data,Y,0790,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,http://mohanhs.org,34.036590,-118.271251,2/9/2023,644 West 17th St.,Los Angeles,CA,90015-3400,644 West 17th St.,Los Angeles,CA,90015-3400,(213) 342-2870,No Data,(213) 342-2871,No Data,Andrew King,No Data,No Data,aking@laalliance.org
School,19647330106864,10851,0602176,Los Angeles,Los Angeles Unified,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Active,9/13/2004,No Data,Y,0645,Directly funded,Traditional,K-12 Schools (Public),6,12,Not Virtual,N,N,Y,N,http://gertzresslerhigh.org,34.036313,-118.282561,2/9/2023,2023 South Union Ave.,Los Angeles,CA,90007-1326,2023 South Union Ave.,Los Angeles,CA,90007-1326,(213) 745-8141,No Data,(213) 745-8142,No Data,Stephanie Tsai,No Data,No Data,stsai@laalliance.org
School,19647330111518,11634,0601694,Los Angeles,Los Angeles Unified,Alliance Jack H. Skirball Middle,Active,9/4/2007,No Data,Y,0779,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,N,Y,N,http://skirballmiddle.org,33.930161,-118.263612,3/29/2023,603 East 115th St.,Los Angeles,CA,90059-2322,603 East 115th St.,Los Angeles,CA,90059-2322,(323) 905-1377,No Data,(323) 905-1378,No Data,Joy May-Harris,No Data,No Data,jmayharris@laalliance.org
School,19647330108894,10867,0601934,Los Angeles,Los Angeles Unified,Alliance Judy Ivie Burton Technology Academy High,Active,8/29/2005,No Data,Y,0714,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,https://www.burtontech.org/,33.944203,-118.278494,2/9/2023,10101 South Broadway,Los Angeles,CA,90003-4534,10101 South Broadway,Los Angeles,CA,90003-4534,(323) 920-6125,No Data,(323) 920-6950,No Data,Rogelio Sanchez,No Data,No Data,rsanchez@laalliance.org
